net,length_um
net10,410.67
net13,384.37
net9,351.74
net12,347.24
net20,343.97
net7,342.15
net21,327.32
net14,327.17
net46,325
net36,323.71
_0665_,310.81
net35,300.1
net8,295
net32,293.28
net11,293.08
_0572_,291.84
net30,290.83
net23,288.99
net53,287.46
net45,287.36
net29,286.12
net6,283.225
net22,280.62
net18,276.26
net15,273.72
net33,272.98
_0664_,272.35
net19,270.8
net63,260.84
net65,256.3
_0146_,254.265
net44,250.76
net25,249.25
net55,246.66
net17,243.72
net28,242.54
_0422_,223.72
net95,220.38
net62,218.245
_0443_,210.69
net3,210.4
net37,210.01
net31,208.89
_0652_,204.74
net52,202.535
_0571_,200.01
net39,199.82
net84,199.78
net24,196.36
_0553_,195.14
net59,194.55
net2,191.9
net42,187.87
_0891_,186.83
_0188_,181.94
net40,181.9
_0555_,181.25
net48,177.78
net50,177.39
net16,176.12
_0480_,173.94
net58,173.63
_0352_,173.25
_0446_,172.71
net1,171.72
net57,170.62
_0495_,170
_0448_,167.78
_0460_,167.6
_0796_,167.52
net43,167.45
_0300_,165.8
_0881_,165.27
_0884_,161.53
_0461_,161.41
_0566_,161.38
_0178_,160.73
net76,160.04
_0444_,158.84
net27,156.78
_0667_,155.8
net49,155.48
_0865_,154.18
_0695_,153.08
net100,150.76
_0640_,150.44
net4,150.27
_0458_,149.66
net38,149.54
_0429_,149.37
_0922_,148.67
net68,148.26
_0511_,147.91
_0040_,147.9
_0888_,147.7
_0370_,147.195
net93,147.12
net41,146.355
_0451_,146.26
_0582_,143.08
net78,143
_0749_,142.96
_0560_,141.82
_0550_,141.75
_0905_,141.66
net82,141.09
_0424_,140.54
_1120_,139.9
_0501_,139.185
net64,138.81
_0498_,138.45
_0497_,137.19
_0459_,135.385
_0547_,133.03
_0479_,132.04
_0469_,131.95
_0768_,131.4
_0626_,130.42
net67,130.37
_0770_,130.36
_0456_,130.19
_0481_,129.65
_0428_,129.13
net60,128.42
_0649_,128.18
_0293_,128.04
_0457_,127.85
net51,127.25
_0552_,126.66
_0993_,126.33
_0514_,126.28
_0512_,125.82
_0564_,125.65
_0699_,124.21
_0492_,122.985
_0662_,121.36
_0252_,121.04
_0869_,120.46
_0899_,118.54
_0450_,118.16
_0471_,118.02
net73,117.34
_0809_,116.48
_0639_,116.36
_0551_,115.03
_0441_,114.96
_0290_,113.6
_0504_,112.7
net99,111.9
_0744_,111.73
_1090_,110.86
_0426_,110.35
_0742_,110.16
_0588_,108.36
net54,106.66
net85,103.72
_0496_,103.65
net80,103.52
_0493_,102.77
_0743_,101.66
_1101_,101.53
_0042_,100.95
_1118_,100.93
net72,99.92
_0541_,98.86
_0506_,97.49
_0505_,96.51
net66,96.4
_1141_,94.2
_0783_,93.44
_0840_,93.12
_0831_,93.05
net74,92.99
_0515_,92.685
net61,92.56
_0330_,92.24
_1089_,91.74
net81,91.12
_0502_,89.85
_0420_,88.08
_0286_,87.5
_0251_,87.08
_0361_,86.78
