net,length_um
net7,221.3
net30,195.82
net3,190.93
net2,185.42
net28,184.28
net20,166.9
net9,161.04
net24,160.62
net11,151.84
net17,149.58
net1,141.93
net15,138.85
net25,133.98
net4,126.32
_022_,116.22
net26,112.7
net16,110.76
net13,109.46
net29,106.08
net10,104.72
net12,99.32
net18,88.78
net19,87.08
_028_,82.76
net8,82.24
net22,79.82
net23,71.46
net27,61.64
net21,56.4
net6,53.56
net31,52.58
_024_,50.25
_016_,48.58
_039_,45.86
_019_,44.68
_020_,39.44
_014_,37.84
net5,34.38
funct7[3],27.57
net14,26.64
_026_,25.36
_036_,24.9
_005_,23.42
_011_,23.42
_000_,23.04
_040_,22.06
_025_,16.7
_049_,16.6
databus[2],14.82
_012_,14.8
_031_,13.42
funct7[0],11.34
funct7[6],11.34
opcode[3],11.34
funct3[1],10.88
opcode[4],10.42
alu_mux_in,10.32
databus[0],10.32
_048_,10.08
_054_,9.98
ram_w_enable,9.86
_010_,9.82
_029_,9.04
alu_mux_out,8.96
_004_,8.9
funct3[2],8.84
funct3[0],8.72
funct7[5],8.72
opcode[0],8.72
opcode[5],8.72
alu_control[1],8.38
_003_,8.14
_015_,7.74
_051_,7.52
_034_,7.44
_009_,7.1
_055_,6.6
_013_,6.52
_037_,6.52
_008_,6.2
alu_control[2],5.97
opcode[1],5.97
_018_,5.84
funct7[1],5.63
funct7[2],5.63
funct7[4],5.63
opcode[2],5.63
opcode[6],5.63
_032_,5.26
alu_control[0],5.07
alu_control[3],5.07
br_enable,5.07
register_w_enable,5.07
_001_,4.76
_041_,4.56
_007_,4.46
br_mux_inv,4.39
imm_rd,4.39
_050_,4.34
databus[1],4.27
_035_,4.1
_052_,4
_027_,3.9
_030_,3.86
_043_,3.76
_038_,3.68
_053_,3.54
_033_,3.08
_044_,2.96
_023_,2.74
_042_,2.72
_047_,2.52
_021_,2.5
_046_,2.3
_002_,2.04
_006_,2.04
_045_,1.38
_017_,0.92
