net,length_um
net30,335.36
net18,324.6
net22,257.22
net99,252.18
net2,244.62
net25,231.04
net24,226.22
net31,224.48
net17,223.9
net32,201.4
net97,188.98
net13,185.62
net10,173.645
net85,169.24
net39,163.84
net76,160.04
net20,156.1
net98,149.04
net15,143.98
net29,143.6
net94,137.42
net7,137.3
net3,123.48
net88,117.32
net96,113.58
net91,106.08
net70,105.48
net21,104.36
net11,104
net95,99.64
net57,90
net1,89.58
net9,88.78
net14,88.72
net83,88.2
net93,87.06
net79,86.82
net81,86.6
net27,86.36
net5,72.72
net23,71.08
net75,70.32
net48,67.16
net19,64.82
net49,52.5
net40,52.38
net34,51.78
net78,47.6
net59,47.48
net71,41.62
net43,39.34
net61,37.98
net42,37.64
net51,37.14
net82,36.78
net41,34.94
net44,32.42
net65,29.94
funct7[1],29.27
net26,26.76
net84,26.56
net8,23.2
data_in[18],22.33
net77,21.08
net45,19.98
opcode[5],19.24
immediateS[9],18.44
immediateS[4],18.16
net69,18.14
net16,17.86
net67,16.9
net86,16.9
data_in[27],16.38
net6,15.96
net28,15.96
net37,15.64
immediateB[10],15.27
opcode[2],13.52
data_in[9],12.99
rs1[2],12.62
net72,12.62
net60,12.48
funct3[1],12.16
rs2[0],12.16
data_in[0],11.34
data_in[14],11.34
immediateB[3],11.26
immediateB[9],11.26
immediateS[1],11.26
opcode[0],11.26
rs1[1],11.26
rs2[1],11.26
immediateI[8],11.12
data_in[24],10.88
data_in[7],10.85
net92,10.78
data_in[10],10.42
data_in[30],10.42
data_in[3],10.42
data_in[4],10.42
data_in[5],10.42
funct7[6],10.32
immediateI[0],10.32
immediateS[7],10.32
opcode[3],10.32
rs1[3],10.32
data_in[22],10.08
funct3[2],9.86
immediateB[0],9.86
immediateB[1],9.86
immediateB[8],9.86
rs1[4],9.86
net12,9.86
data_in[17],9.64
data_in[1],9.64
net47,9.08
funct7[2],8.96
funct7[4],8.96
immediateI[11],8.96
immediateI[2],8.96
immediateI[5],8.96
immediateS[10],8.96
immediateS[3],8.96
immediateS[5],8.96
opcode[4],8.96
rd[3],8.96
data_in[20],8.84
data_in[15],8.72
data_in[16],8.72
immediateI[7],8.71
net33,8.4
immediateI[10],8.38
opcode[1],8.38
rd[2],8.38
net46,8.26
net73,7.94
net80,7.56
net53,7.34
net35,6.88
data_in[28],6.77
net4,6.72
net63,6.14
funct7[3],6.09
data_in[19],5.97
data_in[26],5.97
funct7[5],5.75
immediateB[4],5.75
immediateI[6],5.75
rd[0],5.75
rs1[0],5.75
data_in[31],5.63
data_in[25],5.41
data_in[29],5.29
data_in[6],5.29
net54,5.26
funct7[0],5.07
immediateI[4],5.07
immediateI[9],5.07
immediateS[11],5.07
rs2[4],5.07
immediateS[8],4.95
data_in[8],4.73
funct3[0],4.73
immediateS[6],4.73
opcode[6],4.73
data_in[21],4.61
data_in[2],4.61
immediateB[11],4.39
immediateB[6],4.39
immediateI[3],4.39
immediateS[0],4.39
immediateS[2],4.39
data_in[12],4.27
immediateB[2],4.27
immediateB[5],4.27
rd[1],4.27
rs2[2],4.27
data_in[11],3.93
data_in[13],3.93
data_in[23],3.93
immediateB[7],3.93
immediateI[1],3.93
rd[4],3.93
rs2[3],3.93
net68,3.88
net55,3.66
net38,2.96
net56,2.96
net74,2.96
net89,2.96
net62,2.5
net66,2.5
net64,2.28
net36,2.04
net100,1.6
net50,1.26
net52,1.26
net58,1.26
net87,1.26
net90,1.26
