net,length_um
_08312_,4538.81
_10373_,4073.32
_08620_,4060.115
_08445_,3965.42
_09145_,3928.57
_08523_,3900.56
_09235_,3824.04
_09162_,3809.33
_08722_,3735.98
_08527_,3646.425
_08480_,3583.045
_08357_,3570.84
_08619_,3565.5
_09152_,3473.86
_09719_,3470.17
_09342_,3462.34
_09255_,3454.17
_09192_,3449.295
_09143_,3423.61
_08579_,3415.95
_08450_,3415.51
_08281_,3412.87
_09325_,3398.75
_08618_,3372.35
_08550_,3368.76
_10027_,3354.12
_09052_,3353.3
_09478_,3345.77
_09132_,3336.04
_09624_,3334.45
_08275_,3306.29
_10291_,3305.19
_09838_,3304.67
_09318_,3304.51
_09138_,3303
_10729_,3266.94
_09018_,3262.665
_09396_,3256.245
_09015_,3253.89
_10283_,3221.05
_08578_,3218.285
_08566_,3214.185
_10204_,3210.095
_10343_,3207.42
_08998_,3207
_08581_,3206.475
_08612_,3205.08
_08292_,3202.15
_09626_,3184
_08880_,3180.42
_08476_,3177.78
_08718_,3172.83
_10229_,3170.9
_09029_,3169.63
_10182_,3167.66
_09125_,3164.47
_09559_,3161.405
_10374_,3159.21
_08734_,3157.03
_08319_,3135.35
_08969_,3133.5
_09026_,3132.31
_09106_,3131.39
_09835_,3127.55
_08625_,3127.32
_09381_,3126.53
_10206_,3121.58
_08408_,3120.74
_10009_,3120.13
_09113_,3114.745
_08555_,3108.83
_09087_,3100.785
_09433_,3099.775
_08599_,3096.35
_10119_,3096.21
_10736_,3093.765
_09495_,3093.245
_09228_,3085.35
_08421_,3081.13
_09064_,3072.655
_09707_,3064.31
_09608_,3059.585
_08453_,3056.71
_10742_,3054.815
_09251_,3054.44
_08943_,3049.6
_09529_,3047.4
_08752_,3046.11
_08339_,3042.48
_09236_,3041.1
_11790_,3031.445
_09267_,3028.065
_08419_,3027.14
_08919_,3025.75
_10064_,3018.82
_09164_,3015.255
_08528_,3006.68
_09241_,3005.29
_09493_,3002.76
_09397_,3001.95
_09513_,2999.65
_08639_,2998.71
_09203_,2998.14
_08892_,2997.525
_08737_,2997.37
_09110_,2995.19
_10012_,2992.97
_09130_,2992.18
_09616_,2991.15
_08972_,2990.78
_10094_,2990.755
_10340_,2990.65
_10261_,2982.39
_16667_,2978.56
_08757_,2977.91
_08447_,2974.69
_08602_,2973.33
_08936_,2969.72
_10582_,2967.69
_08948_,2966.77
_09476_,2961.99
_08735_,2954.915
_09040_,2953.04
_08552_,2951.76
_08556_,2940.94
_10296_,2939.055
_16757_,2938.17
_09173_,2933.735
_08326_,2932.87
_09204_,2929.79
_08635_,2923.5
_08395_,2918.67
_08513_,2912.815
_08665_,2904.03
_09762_,2900.66
_08429_,2899.9
_08446_,2898.65
_08882_,2896.21
_08689_,2894.13
_10151_,2891.31
_09032_,2887.25
_16761_,2887.2
_08749_,2887.05
_09199_,2886.24
_09136_,2885.055
_08637_,2884.06
_09603_,2884
_10534_,2880.06
_08840_,2874.65
_10054_,2870.76
_09277_,2868.735
_09530_,2868.07
_16661_,2866.66
_09609_,2863.95
_08768_,2859.31
_09068_,2853.7
_09690_,2852.71
_09501_,2847.545
_08486_,2843.15
_09014_,2842.47
_10719_,2839.61
_08477_,2837.69
_08886_,2832.54
_08428_,2830.99
_09533_,2830.73
_09041_,2830.21
_08392_,2827.065
_09535_,2826.425
_09062_,2824.285
_08335_,2822.625
_09751_,2815.36
_08364_,2815.095
_09414_,2803.16
_10082_,2802.855
_08744_,2794.99
_08736_,2794.32
_08845_,2794.165
_08401_,2793.43
_09044_,2792.17
_09968_,2791.805
_09213_,2790.18
_17165_,2789.15
_08633_,2786.79
_08529_,2784.86
_09071_,2783.12
_09517_,2779.68
_08417_,2778.68
_08519_,2776.13
_08841_,2775
_09532_,2773.775
_09366_,2772.285
_09845_,2768.11
_10108_,2766.57
_08811_,2766.39
_09395_,2765.27
_08930_,2763.7
_09067_,2760.21
_08610_,2757.87
_08956_,2754.325
_08895_,2753.655
_09065_,2747.2
_10075_,2743.925
_17162_,2742.78
_09357_,2741.465
_08701_,2740.245
_08950_,2737.765
_08337_,2737.26
_08654_,2737.125
_08537_,2735.92
_09526_,2735.29
_08755_,2731.775
_08332_,2727.05
_09589_,2718.945
_10491_,2718.08
_08286_,2718
_09518_,2716.14
_08999_,2713.89
_09297_,2711.77
_08852_,2707.52
_08576_,2706.095
_08525_,2705.775
_09231_,2705.41
_08898_,2703.99
_16751_,2703.37
_09450_,2702.33
_08553_,2698.3
_10214_,2696.7
_10328_,2696.525
_10254_,2696.33
_09154_,2695.01
_09117_,2691.28
_08993_,2689.85
_08891_,2689.8
_08345_,2687.425
_09738_,2685.81
_09237_,2682.625
_09991_,2682.54
_08826_,2678.24
_08776_,2677.78
_08371_,2672.9
_08559_,2669.19
_08638_,2668.92
_08901_,2668.04
_08795_,2666.85
_08482_,2664.665
_10380_,2663.185
_10864_,2660.7
_08865_,2659.465
_09177_,2658.865
_08594_,2657.28
_08738_,2655.46
_10227_,2654.67
_08904_,2654.06
_09387_,2653.415
_08502_,2652.815
_09287_,2652.41
_09528_,2650.59
_10279_,2647.77
_08330_,2647.76
_08777_,2647.59
_09676_,2646.26
_09941_,2646.125
_09174_,2642.575
_08592_,2641.865
_09218_,2641.58
_09511_,2639.91
_09054_,2638.08
_10811_,2638
_09619_,2636.745
_08508_,2635.6
_08472_,2632.57
_08885_,2630.79
_08340_,2626.98
_08511_,2625.79
_09459_,2625.415
_10893_,2624.31
_08287_,2623.035
_08909_,2620.39
_08988_,2619.305
_08991_,2617.46
_08309_,2613.735
_09434_,2612.66
_08984_,2611.33
_10047_,2607.66
_10364_,2606.12
_08533_,2604.98
_09801_,2604.12
_09401_,2600.76
_08426_,2600.51
_09607_,2598.39
_09682_,2596.14
_08442_,2595.205
_17158_,2594.395
_08887_,2592.735
_08651_,2591.045
_08580_,2589.92
_08927_,2587.84
_09332_,2587.55
_09189_,2587.4
_08355_,2587.26
_10720_,2586.65
