net,length_um
net25,289.48
net21,285.88
net5,271.08
net24,247.46
net4,244.88
net16,241.26
net22,221.28
net6,214.04
net7,185.5
net19,183.22
net20,178.64
net15,176.3
net14,164.48
net3,160.46
net8,154.1
net9,138.68
net1,129.18
net18,121.02
net12,114.14
net17,88.2
net11,83.36
_036_,82.26
net23,62
_075_,52.04
net13,51.9
set\[0\],46.34
_076_,45.66
_004_,43.725
net2,39.08
_010_,35.56
clknet_1_0__leaf_clk,33.54
clknet_1_1__leaf_clk,30.8
clk,29.52
clknet_0_clk,28.22
_028_,26.14
_013_,24.04
_072_,23.58
_049_,23.13
_015_,22.74
_006_,22.02
_067_,21.96
_085_,21.6
_071_,21.33
_005_,21.165
net10,20.74
_052_,19.84
_064_,19.82
_011_,19.245
_007_,19.18
_018_,18.74
_087_,18.68
_070_,18.58
_058_,18.06
_080_,17.94
_057_,17.86
_046_,17.78
_041_,17.76
net26,17.68
_077_,17.54
_012_,17.38
_008_,17.345
_074_,17.02
_081_,16.74
_051_,16.48
_039_,16.46
_048_,16.4
_003_,16.315
_001_,15.1
count[0],14.82
_061_,14.78
addition[3],14.56
_025_,13.78
_065_,12.96
_002_,12.945
_009_,12.665
_000_,12.345
_033_,12.33
_024_,12.12
addition[6],11.34
_054_,11.18
_017_,11.16
_019_,11.06
addition[11],10.88
addition[1],10.88
_044_,10.74
count[10],10.68
count[7],10.68
_066_,10.42
_032_,9.94
count[11],9.86
count[6],9.86
count[9],9.86
addition[7],9.64
_062_,9.36
_030_,9.28
addition[8],8.72
count[2],8.38
_079_,7.74
_084_,7.52
_083_,7.36
_040_,7.06
_053_,6.98
_042_,6.78
_050_,6.5
_059_,6.39
_038_,6.14
_021_,6.1
_068_,6.06
count[5],5.97
count[3],5.75
addition[9],5.63
_014_,5.58
_020_,5.56
_069_,5.36
addition[4],5.29
_034_,5.24
_060_,5.14
count[1],5.07
addition[10],4.95
addition[2],4.95
_043_,4.78
addition[0],4.73
addition[5],4.73
_027_,4.46
count[4],4.39
_056_,4.3
_022_,4
count[8],3.93
reset,3.93
_031_,3.86
_073_,3.74
_035_,3.1
_026_,3.08
_047_,3.08
_082_,2.5
_037_,2.4
_055_,2.4
_078_,2.4
_063_,1.7
_045_,1.38
_023_,1.26
_016_,1.14
_029_,0.46
_086_,0.46
