net,length_um
clknet_0_clk,1047.28
_1872_,871.86
_2032_,833.06
_1168_,825.05
_1938_,804.44
_1959_,792.41
_1970_,774.87
_1974_,767.85
_1976_,735.605
_3317_,718.43
_2028_,711.5
_1960_,702.83
_1961_,700.11
_1809_,691.74
_2086_,687.95
_1170_,681.12
_1176_,680.73
_1243_,679.79
_1154_,671.85
_3088_,663.84
_1831_,655.96
_1509_,634.23
_1238_,633.63
_1939_,631.32
_1246_,627.86
_1172_,626.87
_1973_,626.86
_1966_,621.39
_1842_,619.89
_1812_,618.68
_1166_,617.57
_1153_,602.48
_2777_,600.49
_1547_,595.95
_2093_,594.71
_1971_,586.17
_2033_,584.36
_1510_,583.43
_2627_,580.16
_2600_,575.3
_1237_,573.45
_3117_,571.615
_1978_,569.88
_1965_,568.01
_2015_,562.01
_3005_,561.93
_2886_,557.585
_1845_,557.12
_1188_,556.34
_3235_,552.87
_1805_,552.61
_1190_,549.36
_3346_,543.4
_2646_,542.76
_1843_,537.09
_1848_,531.44
_1247_,526.79
_1819_,520.6
_1159_,519.22
_2529_,515.52
_1195_,515.04
_2029_,509.68
_1472_,509.09
_1551_,506.28
_2621_,503.07
_2861_,501.61
_2884_,500.25
_1194_,499.5
_1846_,499.4
_1964_,498.41
_1873_,497.29
_2462_,496.6
_1271_,495.74
_2901_,493.93
_1798_,491.99
_2045_,490.55
_2017_,490.48
_3200_,490.14
_1821_,490.04
_1829_,488.49
_1272_,487.65
_1863_,487.65
_1948_,485.14
_2634_,484.82
_1800_,483.49
_1822_,483.13
net5,482.29
_2439_,482.23
_2640_,481.19
_1548_,481.15
_1804_,480.93
_2611_,480.13
_2454_,478.35
_1205_,474.76
_2625_,474.57
_1968_,471.23
_1203_,469.12
_1552_,469.11
net28,467.46
_1833_,465.72
_2466_,462.98
_1850_,462.885
_2895_,461.04
_2475_,460.7
_1157_,460.54
_2046_,460.24
_2897_,460.23
_2738_,456.29
_3145_,454.1
_1200_,453.42
_2484_,453.28
_1199_,450.05
_1816_,450.02
_1814_,449.53
_2888_,448.21
_2619_,446.67
_2684_,445.41
_3096_,443.62
_1162_,441.96
_2838_,441.09
_2472_,440.43
_2868_,433.8
_2842_,432.86
_1862_,432.59
net111,430.46
_2891_,429.11
_2456_,428.46
_2642_,428.08
_1864_,427.83
_1871_,423.99
_2113_,423.05
clk,421.42
_1824_,419.45
_2865_,417.59
net97,415.51
_1913_,415.36
_2092_,414.61
_1202_,414.33
_2481_,413.955
_2878_,412.92
_2463_,410.69
_3007_,408.99
_2485_,408.08
_1161_,408.03
_3181_,407.38
_2482_,407.23
net33,407.04
_2881_,406.68
_2694_,406.61
_2824_,406.21
_2474_,403.94
_2014_,402.8
_1207_,402.695
_2644_,402.22
_1186_,399.08
net85,398.815
_1361_,398.18
_2461_,397.85
_2874_,397.285
_1360_,396.62
_1949_,396.05
_2943_,395.65
_2615_,395.37
_2448_,393.11
_2636_,392.42
_1183_,391.5
_2920_,391.46
_1363_,390.56
_2457_,389.51
_2909_,389.05
_2486_,388.24
_2631_,387.32
_2473_,386.7
_1866_,386.36
_1837_,386.325
_3009_,386.31
_3137_,384.5
_1251_,383.67
_1802_,383.4
_2899_,382.75
_2483_,382.63
_3237_,381.35
_3323_,380.09
_2480_,380.08
_1252_,379.27
_2452_,379.14
_2775_,377.86
_1838_,377.52
_2659_,376.22
_3369_,375.57
_2470_,375.55
_1364_,375.12
_1840_,374.72
_2911_,373.19
_2638_,372.61
_3225_,372.6
_2559_,372.57
_2116_,371.29
_2740_,370.98
_2918_,370.52
_2479_,370.34
_2617_,367.83
net11,366.7
_3367_,366.64
_2648_,366.5
net12,366.09
_2478_,365.63
_3159_,365.4
net110,364.8
_2657_,364.39
_2508_,364.15
_2118_,363.83
_2459_,362.46
_3393_,361.56
_2607_,361.37
