net,length_um
ram_data_in\[4\],4026.58
net43,3145.99
net37,3118.47
alu_data_out\[5\],3074.905
ram_data_in\[7\],3059.81
net27,2985.24
net39,2964.39
ram_data_out\[11\],2949.34
alu_data_out\[6\],2909.19
net7,2894.76
net19,2843.75
net4,2830.89
net9,2795.18
ram_data_out\[16\],2793.36
net6,2772.64
ram_data_out\[12\],2631.91
ram_data_in\[5\],2579.06
ram_data_in\[14\],2572.22
ram_data_out\[6\],2549.12
alu_data_out\[1\],2520.68
ram_data_out\[19\],2514.495
net1,2473.52
ram_data_out\[13\],2416.69
ram_data_out\[17\],2413.465
ram_data_out\[5\],2385.72
ram_data_in\[28\],2367.07
net5,2366.17
net29,2271.41
net33,2250.87
ram_w_enable,2243.3
net12,2221.81
net28,2196.08
ram_data_out\[9\],2179.165
ram_data_out\[4\],2158.7
net15,2150.72
alu_data_out\[2\],2125.6
net32,2114.83
net38,2081.56
net17,2071.18
alu_data_out\[3\],2024.36
alu_data_out\[0\],2015.05
net40,2014.13
ram_data_out\[18\],1999.47
net42,1986.33
alu_data_out\[7\],1982.71
ram_data_out\[3\],1978.63
net18,1946.97
net10,1905.12
net23,1896.63
net34,1892.98
ram_data_out\[21\],1891.95
ram_data_in\[1\],1890.79
ram_data_out\[24\],1858.89
register_data_out2\[26\],1844.41
net36,1841.38
register_data_out2\[22\],1829.55
_009_,1785.82
net2,1757.89
ram_data_out\[30\],1724.03
register_data_out2\[27\],1636.845
net24,1618.16
ram_data_in\[2\],1601.215
net20,1590.49
net11,1569.26
ram_data_in\[3\],1544.44
register_w_enable,1522.66
alu_data_in1\[22\],1502.46
alu_data_in1\[18\],1468.58
ram_data_in\[23\],1468.08
alu_data_out\[4\],1453.435
register_data_addr2\[0\],1418.49
register_data_addr1\[3\],1410.82
alu_data_in1\[9\],1409.72
net44,1386.09
alu_data_in1\[31\],1382.55
ram_data_out\[8\],1373.34
alu_data_in1\[11\],1372.83
register_data_out2\[21\],1354.96
ram_data_in\[0\],1349.77
ram_data_out\[15\],1332.53
register_data_addr2\[3\],1329.85
rd\[4\],1324.82
